species,timetree_query,query_source,resolved,taxon_id,ncbi_id,scientific_name,taxonomic_rank,raw_error,class,order,family,genus
Olive baboon (Papio anubis),Papio anubis,parenthetical_scientific_name,True,9555,9555,Papio anubis,species,,Mammalia,Primates,Cercopithecidae,Papio
Yellow baboon (Papio cynocephalus),Papio cynocephalus,parenthetical_scientific_name,True,9556,9556,Papio cynocephalus,species,,Mammalia,Primates,Cercopithecidae,Papio
Ring-tailed lemur (Lemur catta),Lemur catta,parenthetical_scientific_name,True,9447,9447,Lemur catta,species,,Mammalia,Primates,Lemuridae,Lemur
Mouse lemurs (Microcebus spp.),Microcebus,manual_composite_override,True,13149,13149,Microcebus,genus,,Mammalia,Primates,Cheirogaleidae,Microcebus
Tufted capuchin (Sapajus apella),Sapajus apella,parenthetical_scientific_name,True,9515,9515,Sapajus apella,species,,Mammalia,Primates,Cebidae,Sapajus
Common marmoset (Callithrix jacchus),Callithrix jacchus,parenthetical_scientific_name,True,9483,9483,Callithrix jacchus,species,,Mammalia,Primates,Callitrichidae,Callithrix
Howler monkey (Alouatta spp.),Alouatta,manual_composite_override,True,9499,9499,Alouatta,genus,,Mammalia,Primates,Atelidae,Alouatta
Diana monkey (Cercopithecus diana),Cercopithecus diana,parenthetical_scientific_name,True,36224,36224,Cercopithecus diana,species,,Mammalia,Primates,Cercopithecidae,Cercopithecus
Putty-nosed monkey (Cercopithecus nictitans),Cercopithecus nictitans,parenthetical_scientific_name,True,36228,36228,Cercopithecus nictitans,species,,Mammalia,Primates,Cercopithecidae,Cercopithecus
Red-tailed monkey (Cercopithecus ascanius),Cercopithecus ascanius,parenthetical_scientific_name,True,36223,36223,Cercopithecus ascanius,species,,Mammalia,Primates,Cercopithecidae,Cercopithecus
De Brazza’s monkey (Cercopithecus neglectus),Cercopithecus neglectus,parenthetical_scientific_name,True,36227,36227,Cercopithecus neglectus,species,,Mammalia,Primates,Cercopithecidae,Cercopithecus
L’Hoest’s monkey (Allochrocebus lhoesti),Allochrocebus lhoesti,parenthetical_scientific_name,True,100224,100224,Allochrocebus lhoesti,species,,Mammalia,Primates,Cercopithecidae,Allochrocebus
Patas monkey (Erythrocebus patas),Erythrocebus patas,parenthetical_scientific_name,True,9538,9538,Erythrocebus patas,species,,Mammalia,Primates,Cercopithecidae,Erythrocebus
Talapoin monkey (Miopithecus talapoin),Miopithecus talapoin,parenthetical_scientific_name,True,36231,36231,Miopithecus talapoin,species,,Mammalia,Primates,Cercopithecidae,Miopithecus
Gelada (Theropithecus gelada),Theropithecus gelada,parenthetical_scientific_name,True,9565,9565,Theropithecus gelada,species,,Mammalia,Primates,Cercopithecidae,Theropithecus
Crowned monkey / Crowned guenon (Cercopithecus pogonias),Cercopithecus pogonias,parenthetical_scientific_name,True,102108,102108,Cercopithecus pogonias,species,,Mammalia,Primates,Cercopithecidae,Cercopithecus
Mona monkey (Cercopithecus mona),Cercopithecus mona,parenthetical_scientific_name,True,36226,36226,Cercopithecus mona,species,,Mammalia,Primates,Cercopithecidae,Cercopithecus
Chacma baboon (Papio ursinus),Papio ursinus,parenthetical_scientific_name,True,36229,36229,Papio ursinus,species,,Mammalia,Primates,Cercopithecidae,Papio
Zebra finch (Taeniopygia guttata),Taeniopygia guttata,parenthetical_scientific_name,True,59729,59729,Taeniopygia guttata,species,,Aves,Passeriformes,Estrildidae,Taeniopygia
